Run Fondo;serie;fecha;periodo;rent_acumulada
9291;APV;2023-02-25;YTD;0.0203
9291;APV;2023-02-26;1M;0.0101
9291;APV;2023-02-26;3M;0.0286
9291;APV;2023-02-26;6M;0.0469
9291;APV;2023-02-26;1Y;0.1158
9291;APV;2023-02-26;YTD;0.0206
9291;APV;2023-02-27;1M;0.0105
9291;APV;2023-02-27;3M;0.0289
9291;APV;2023-02-27;6M;0.0471
9291;APV;2023-02-27;1Y;0.1161
9291;APV;2023-02-27;YTD;0.0212
9291;APV;2023-02-28;1M;0.0106
9291;APV;2023-02-28;3M;0.0293
9291;APV;2023-02-28;6M;0.0470
9291;APV;2023-02-28;1Y;0.1166
9291;APV;2023-02-28;YTD;0.0215
9291;APV;2023-03-01;1M;0.0097
9291;APV;2023-03-01;3M;0.0288
9291;APV;2023-03-01;6M;0.0491
9291;APV;2023-03-01;1Y;0.1151
9291;APV;2023-03-01;YTD;0.0216
9291;APV;2023-03-02;1M;0.0096
9291;APV;2023-03-02;3M;0.0290
9291;APV;2023-03-02;6M;0.0475
9291;APV;2023-03-02;1Y;0.1146
9291;APV;2023-03-02;YTD;0.0218
9291;APV;2023-03-03;1M;0.0099
9291;APV;2023-03-03;3M;0.0290
9291;APV;2023-03-03;6M;0.0474
9291;APV;2023-03-03;1Y;0.1146
9291;APV;2023-03-03;YTD;0.0221
9291;APV;2023-03-04;1M;0.0101
9291;APV;2023-03-04;3M;0.0291
9291;APV;2023-03-04;6M;0.0474
9291;APV;2023-03-04;1Y;0.1142
9291;APV;2023-03-04;YTD;0.0225
9291;APV;2023-03-05;1M;0.0103
9291;APV;2023-03-05;3M;0.0297
9291;APV;2023-03-05;6M;0.0476
9291;APV;2023-03-05;1Y;0.1142
9291;APV;2023-03-05;YTD;0.0230
9291;APV;2023-03-06;1M;0.0103
9291;APV;2023-03-06;3M;0.0302
9291;APV;2023-03-06;6M;0.0479
9291;APV;2023-03-06;1Y;0.1138
9291;APV;2023-03-06;YTD;0.0231
9291;APV;2023-03-07;1M;0.0106
9291;APV;2023-03-07;3M;0.0288
9291;APV;2023-03-07;6M;0.0504
9291;APV;2023-03-07;1Y;0.1110
9291;APV;2023-03-07;YTD;0.0235
9291;APV;2023-03-08;1M;0.0075
9291;APV;2023-03-08;3M;0.0273
9291;APV;2023-03-08;6M;0.0487
9291;APV;2023-03-08;1Y;0.1101
9291;APV;2023-03-08;YTD;0.0222
9291;APV;2023-03-09;1M;0.0071
9291;APV;2023-03-09;3M;0.0259
9291;APV;2023-03-09;6M;0.0483
9291;APV;2023-03-09;1Y;0.1084
9291;APV;2023-03-09;YTD;0.0218
9291;APV;2023-03-10;1M;0.0068
9291;APV;2023-03-10;3M;0.0253
9291;APV;2023-03-10;6M;0.0477
9291;APV;2023-03-10;1Y;0.1080
9291;APV;2023-03-10;YTD;0.0216
9291;APV;2023-03-11;1M;0.0066
9291;APV;2023-03-11;3M;0.0250
9291;APV;2023-03-11;6M;0.0474
9291;APV;2023-03-11;1Y;0.1084
9291;APV;2023-03-11;YTD;0.0217
9291;APV;2023-03-12;1M;0.0064
9291;APV;2023-03-12;3M;0.0255
9291;APV;2023-03-12;6M;0.0475
9291;APV;2023-03-12;1Y;0.1084
9291;APV;2023-03-12;YTD;0.0218
9291;APV;2023-03-13;1M;0.0070
9291;APV;2023-03-13;3M;0.0262
9291;APV;2023-03-13;6M;0.0475
9291;APV;2023-03-13;1Y;0.1092
9291;APV;2023-03-13;YTD;0.0226
9291;APV;2023-03-14;1M;0.0066
9291;APV;2023-03-14;3M;0.0257
9291;APV;2023-03-14;6M;0.0475
9291;APV;2023-03-14;1Y;0.1091
9291;APV;2023-03-14;YTD;0.0226
9291;APV;2023-03-15;1M;0.0065
9291;APV;2023-03-15;3M;0.0258
9291;APV;2023-03-15;6M;0.0480
9291;APV;2023-03-15;1Y;0.1107
9291;APV;2023-03-15;YTD;0.0228
9291;APV;2023-03-16;1M;0.0060
9291;APV;2023-03-16;3M;0.0254
9291;APV;2023-03-16;6M;0.0474
9291;APV;2023-03-16;1Y;0.1104
9291;APV;2023-03-16;YTD;0.0226
9291;APV;2023-03-17;1M;0.0055
9291;APV;2023-03-17;3M;0.0252
9291;APV;2023-03-17;6M;0.0472
9291;APV;2023-03-17;1Y;0.1110
9291;APV;2023-03-17;YTD;0.0228
9291;APV;2023-03-18;1M;0.0053
9291;APV;2023-03-18;3M;0.0249
9291;APV;2023-03-18;6M;0.0468
9291;APV;2023-03-18;1Y;0.1104
9291;APV;2023-03-18;YTD;0.0230
9291;APV;2023-03-19;1M;0.0051
9291;APV;2023-03-19;3M;0.0252
9291;APV;2023-03-19;6M;0.0465
9291;APV;2023-03-19;1Y;0.1104
9291;APV;2023-03-19;YTD;0.0231
9291;APV;2023-03-20;1M;0.0054
9291;APV;2023-03-20;3M;0.0257
9291;APV;2023-03-20;6M;0.0461
9291;APV;2023-03-20;1Y;0.1110
9291;APV;2023-03-20;YTD;0.0237
9291;APV;2023-03-21;1M;0.0050
9291;APV;2023-03-21;3M;0.0262
9291;APV;2023-03-21;6M;0.0464
9291;APV;2023-03-21;1Y;0.1104
9291;APV;2023-03-21;YTD;0.0238
9291;APV;2023-03-22;1M;0.0048
9291;APV;2023-03-22;3M;0.0266
9291;APV;2023-03-22;6M;0.0468
9291;APV;2023-03-22;1Y;0.1101
9291;APV;2023-03-22;YTD;0.0239
9291;APV;2023-03-23;1M;0.0053
9291;APV;2023-03-23;3M;0.0273
9291;APV;2023-03-23;6M;0.0470
9291;APV;2023-03-23;1Y;0.1102
9291;APV;2023-03-23;YTD;0.0246
9291;APV;2023-03-24;1M;0.0048
9291;APV;2023-03-24;3M;0.0272
9291;APV;2023-03-24;6M;0.0469
9291;APV;2023-03-24;1Y;0.1098
9291;APV;2023-03-24;YTD;0.0249
9291;APV;2023-03-25;1M;0.0046
9291;APV;2023-03-25;3M;0.0268
9291;APV;2023-03-25;6M;0.0466
9291;APV;2023-03-25;1Y;0.1094
9291;APV;2023-03-25;YTD;0.0250
9291;APV;2023-03-26;1M;0.0044
9291;APV;2023-03-26;3M;0.0267
9291;APV;2023-03-26;6M;0.0480
9291;APV;2023-03-26;1Y;0.1094
9291;APV;2023-03-26;YTD;0.0251
9291;APV;2023-03-27;1M;0.0040
9291;APV;2023-03-27;3M;0.0267
9291;APV;2023-03-27;6M;0.0494
9291;APV;2023-03-27;1Y;0.1095
9291;APV;2023-03-27;YTD;0.0253
9291;APV;2023-03-28;1M;0.0048
9291;APV;2023-03-28;3M;0.0276
9291;APV;2023-03-28;6M;0.0520
9291;APV;2023-03-28;1Y;0.1107
9291;APV;2023-03-28;YTD;0.0264
9291;APV;2023-03-29;1M;0.0048
9291;APV;2023-03-29;3M;0.0268
9291;APV;2023-03-29;6M;0.0534
9291;APV;2023-03-29;1Y;0.1106
9291;APV;2023-03-29;YTD;0.0264
9291;APV;2023-03-30;1M;0.0057
9291;APV;2023-03-30;3M;0.0274
9291;APV;2023-03-30;6M;0.0543
9291;APV;2023-03-30;1Y;0.1123
9291;APV;2023-03-30;YTD;0.0274
9291;APV;2023-03-31;1M;0.0054
9291;APV;2023-03-31;3M;0.0266
9291;APV;2023-03-31;6M;0.0540
9291;APV;2023-03-31;1Y;0.1106
9291;APV;2023-03-31;YTD;0.0270
9291;APV;2023-04-01;1M;0.0054
9291;APV;2023-04-01;3M;0.0263
9291;APV;2023-04-01;6M;0.0537
9291;APV;2023-04-01;1Y;0.1107
9291;APV;2023-04-01;YTD;0.0272
9291;APV;2023-04-02;1M;0.0053
9291;APV;2023-04-02;3M;0.0260
9291;APV;2023-04-02;6M;0.0534
9291;APV;2023-04-02;1Y;0.1107
9291;APV;2023-04-02;YTD;0.0273
9291;APV;2023-04-03;1M;0.0058
9291;APV;2023-04-03;3M;0.0264
9291;APV;2023-04-03;6M;0.0542
9291;APV;2023-04-03;1Y;0.1115
9291;APV;2023-04-03;YTD;0.0281
9291;APV;2023-04-04;1M;0.0056
9291;APV;2023-04-04;3M;0.0255
9291;APV;2023-04-04;6M;0.0545
9291;APV;2023-04-04;1Y;0.1101
9291;APV;2023-04-04;YTD;0.0283
9291;APV;2023-04-05;1M;0.0050
9291;APV;2023-04-05;3M;0.0244
9291;APV;2023-04-05;6M;0.0546
9291;APV;2023-04-05;1Y;0.1092
9291;APV;2023-04-05;YTD;0.0281
9291;APV;2023-04-06;1M;0.0059
9291;APV;2023-04-06;3M;0.0254
9291;APV;2023-04-06;6M;0.0563
9291;APV;2023-04-06;1Y;0.1095
9291;APV;2023-04-06;YTD;0.0291
9291;APV;2023-04-07;1M;0.0056
9291;APV;2023-04-07;3M;0.0251
9291;APV;2023-04-07;6M;0.0559
9291;APV;2023-04-07;1Y;0.1087
9291;APV;2023-04-07;YTD;0.0292
9291;APV;2023-04-08;1M;0.0069
9291;APV;2023-04-08;3M;0.0248
9291;APV;2023-04-08;6M;0.0556
9291;APV;2023-04-08;1Y;0.1044
9291;APV;2023-04-08;YTD;0.0293
9291;APV;2023-04-09;1M;0.0074
9291;APV;2023-04-09;3M;0.0240
9291;APV;2023-04-09;6M;0.0552
9291;APV;2023-04-09;1Y;0.1044
9291;APV;2023-04-09;YTD;0.0294
9291;APV;2023-04-10;1M;0.0077
9291;APV;2023-04-10;3M;0.0240
9291;APV;2023-04-10;6M;0.0550
9291;APV;2023-04-10;1Y;0.1040
9291;APV;2023-04-10;YTD;0.0295
9291;APV;2023-04-11;1M;0.0076
9291;APV;2023-04-11;3M;0.0233
9291;APV;2023-04-11;6M;0.0548
9291;APV;2023-04-11;1Y;0.1020
9291;APV;2023-04-11;YTD;0.0295
